2022-12-31 21:39:11,029 p=57329 u=craig n=ansible | PLAY [Create an LXC container in Proxmox] *****************************************************************************************************************************
2023-01-15 21:09:03,101 p=45330 u=craig n=ansible | PLAY [Set up an LXC container with Docker running] **********************************************************************************************************************************************
2023-01-15 21:09:03,111 p=45330 u=craig n=ansible | ERROR! vars file ../../vault.yaml was not found
Could not find file on the Ansible Controller.
If you are using a module and expect the file to exist on the remote, see the remote_src option
2023-01-15 21:09:15,825 p=45358 u=craig n=ansible | PLAY [Set up an LXC container with Docker running] **********************************************************************************************************************************************
2023-01-15 21:09:15,841 p=45358 u=craig n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************************************
2023-01-15 21:09:17,273 p=45358 u=craig n=ansible | ok: [192.168.1.99]
2023-01-15 21:09:17,290 p=45358 u=craig n=ansible | TASK [ansible.builtin.include_vars] *************************************************************************************************************************************************************
2023-01-15 21:09:17,304 p=45358 u=craig n=ansible | ok: [192.168.1.99]
2023-01-15 21:09:17,337 p=45358 u=craig n=ansible | TASK [pm_create_lxc : Install proxmoxer on main host] *******************************************************************************************************************************************
2023-01-15 21:09:18,173 p=45358 u=craig n=ansible | ok: [192.168.1.99]
2023-01-15 21:09:18,195 p=45358 u=craig n=ansible | TASK [pm_create_lxc : Create a directory to house the ssh keys to pass to a new LXC] ************************************************************************************************************
2023-01-15 21:09:18,568 p=45358 u=craig n=ansible | ok: [192.168.1.99]
2023-01-15 21:09:18,584 p=45358 u=craig n=ansible | TASK [pm_create_lxc : Copy the bash script to snippets directory and make it executable] ********************************************************************************************************
2023-01-15 21:09:19,319 p=45358 u=craig n=ansible | ok: [192.168.1.99]
2023-01-15 21:09:19,348 p=45358 u=craig n=ansible | TASK [pm_create_lxc : Print the ssh key and store it to a variable] *****************************************************************************************************************************
2023-01-15 21:09:19,656 p=45358 u=craig n=ansible | changed: [192.168.1.99 -> localhost]
2023-01-15 21:09:19,671 p=45358 u=craig n=ansible | TASK [pm_create_lxc : Create LXC without hookscript] ********************************************************************************************************************************************
2023-01-15 21:09:19,682 p=45358 u=craig n=ansible | skipping: [192.168.1.99]
2023-01-15 21:09:19,698 p=45358 u=craig n=ansible | TASK [pm_create_lxc : Create LXC with hookscript] ***********************************************************************************************************************************************
2023-01-15 21:09:24,421 p=45358 u=craig n=ansible | changed: [192.168.1.99]
2023-01-15 21:09:24,442 p=45358 u=craig n=ansible | TASK [pm_create_lxc : Start container] **********************************************************************************************************************************************************
2023-01-15 21:09:26,876 p=45358 u=craig n=ansible | [DEPRECATION WARNING]: The default value `false` for the parameter "unprivileged" is deprecated and it will be replaced with `true`. This feature will be removed from community.general in 
version 7.0.0. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2023-01-15 21:09:26,877 p=45358 u=craig n=ansible | changed: [192.168.1.99]
2023-01-15 21:09:26,898 p=45358 u=craig n=ansible | TASK [pm_create_lxc : Add new container to inventory] *******************************************************************************************************************************************
2023-01-15 21:09:26,927 p=45358 u=craig n=ansible | changed: [192.168.1.99]
2023-01-15 21:09:26,962 p=45358 u=craig n=ansible | TASK [pm_create_lxc : Allow release-info to change for APT repositories] ************************************************************************************************************************
2023-01-15 21:09:32,201 p=45358 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.113]
2023-01-15 21:09:32,232 p=45358 u=craig n=ansible | TASK [pm_create_lxc : Run the equivalent of "apt-get update"] ***********************************************************************************************************************************
2023-01-15 21:09:33,565 p=45358 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.113]
2023-01-15 21:09:33,597 p=45358 u=craig n=ansible | TASK [pm_create_lxc : Update all packages to their latest version] ******************************************************************************************************************************
2023-01-15 21:10:25,299 p=45358 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.113]
2023-01-15 21:10:25,327 p=45358 u=craig n=ansible | TASK [pm_create_lxc : add rsa public key to remote host] ****************************************************************************************************************************************
2023-01-15 21:10:25,820 p=45358 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.113]
2023-01-15 21:10:25,863 p=45358 u=craig n=ansible | TASK [Verify that the target is online/contactable] *********************************************************************************************************************************************
2023-01-15 21:10:26,340 p=45358 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.113]
2023-01-15 21:10:26,369 p=45358 u=craig n=ansible | TASK [Install Docker] ***************************************************************************************************************************************************************************
2023-01-15 21:10:40,601 p=45358 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.113]
2023-01-15 21:10:40,628 p=45358 u=craig n=ansible | TASK [Enable Docker] ****************************************************************************************************************************************************************************
2023-01-15 21:10:41,733 p=45358 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.113]
2023-01-15 21:10:41,760 p=45358 u=craig n=ansible | TASK [Start Docker] *****************************************************************************************************************************************************************************
2023-01-15 21:10:42,645 p=45358 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.113]
2023-01-15 21:10:42,675 p=45358 u=craig n=ansible | PLAY RECAP **************************************************************************************************************************************************************************************
2023-01-15 21:10:42,675 p=45358 u=craig n=ansible | 192.168.1.99               : ok=17   changed=7    unreachable=0    failed=0    skipped=1    rescued=0    ignored=0   
2023-01-17 21:46:21,154 p=40328 u=craig n=ansible | ERROR! No action selected, at least one of --host, --graph or --list needs to be specified.
2023-01-17 21:49:47,608 p=40376 u=craig n=ansible |  [ERROR]: User interrupted execution

2023-01-17 21:51:07,833 p=40724 u=craig n=ansible |  [ERROR]: User interrupted execution

2023-01-17 21:51:24,242 p=40758 u=craig n=ansible |  [ERROR]: User interrupted execution

2023-01-17 21:51:50,972 p=40817 u=craig n=ansible | {
    "_meta": {
        "hostvars": {
            "192.168.1.112": {
                "ip": "192.168.1.112",
                "name": "192.168.1.112"
            },
            "192.168.1.113": {
                "ip": "192.168.1.113",
                "name": "192.168.1.113"
            },
            "192.168.1.120": {
